title,year,authors,venue,cited_by,doi,abstract,on_topic,found_under_themes,SCREEN_relevant_yn,data_source,ai_measure_unit,monetary_yn,sample,validation,data_free_or_commercial
Artificial Intelligence and Business Value: a Literature Review,2021,Ida Merete Enholm; Emmanouil Papagiannidis; Patrick Mikalef; John Krogstie,Information Systems Frontiers,922,https://doi.org/10.1007/s10796-021-10186-w,"Abstract Artificial Intelligence (AI) are a wide-ranging set of technologies that promise several advantages for organizations in terms off added business value. Over the past few years, organizations are increasingly turning to AI in order to gain business value following a deluge of data and a strong increase in computational capacity. Nevertheless, organizations are still struggling to adopt and leverage AI in their operations. The lack of a coherent understanding of how AI technologies create business value, and what type of business value is expected, therefore necessitates a holistic understanding. This study provides a systematic literature review that attempts to explain how organizations can leverage AI technologies in their operations and elucidate the value-generating mechanisms. Our analysis synthesizes the current literature and highlights: (1) the key enablers and inhibitors of AI adoption and use; (2) the typologies of AI use in the organizational setting; and (3) the first- and second-order effects of AI. The paper concludes with an identification of the gaps in the literature and develops a research agenda that identifies areas that need to be addressed by future studies.",True,ai_adoption; firm_ai_investment,,,,,,,
Artificial Intelligence in FinTech: understanding robo-advisors adoption among customers,2019,Daniel Belanche; Luis V. Casaló; Carlos Flavián,Industrial Management & Data Systems,794,https://doi.org/10.1108/imds-08-2018-0368,"Purpose Considering the increasing impact of Artificial Intelligence (AI) on financial technology (FinTech), the purpose of this paper is to propose a research framework to better understand robo-advisor adoption by a wide range of potential customers. It also predicts that personal and sociodemographic variables (familiarity with robots, age, gender and country) moderate the main relationships. Design/methodology/approach Data from a web survey of 765 North American, British and Portuguese potential users of robo-advisor services confirm the validity of the measurement scales and provide the input for structural equation modeling and multisample analyses of the hypotheses. Findings Consumers’ attitudes toward robo-advisors, together with mass media and interpersonal subjective norms, are found to be the key determinants of adoption. The influences of perceived usefulness and attitude are slightly higher for users with a higher level of familiarity with robots; in turn, subjective norms are significantly more relevant for users with a lower familiarity and for customers from Anglo-Saxon countries. Practical implications Banks and other firms in the finance industry should design robo-advisors to be used by a wide spectrum of consumers. Marketing tactics applied should consider the customer’s level of familiarity with robots. Originality/value This research identifies the key drivers of robo-advisor adoption and the moderating effect of personal and sociodemographic variables. It contributes to understanding consumers’ perceptions regarding the introduction of AI in FinTech.",True,ai_adoption,,,,,,,
Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,2017,Erik Brynjolfsson; Daniel Rock; Chad Syverson,National Bureau of Economic Research,747,https://doi.org/10.3386/w24001,"We live in an age of paradox. Systems using artificial intelligence match or surpass human level performance in more and more domains, leveraging rapid advances in other technologies and driving soaring stock prices. Yet measured productivity growth has declined by half over the past decade, and real income has stagnated since the late 1990s for a majority of Americans. We describe four potential explanations for this clash of expectations and statistics: false hopes, mismeasurement, redistribution, and implementation lags. While a case can be made for each, we argue that lags have likely been the biggest contributor to the paradox. The most impressive capabilities of AI, particularly those based on machine learning, have not yet diffused widely. More importantly, like other general purpose technologies, their full effects won't be realized until waves of complementary innovations are developed and implemented. The required adjustment costs, organizational changes, and new skills can be modeled as a kind of intangible capital. A portion of the value of this intangible capital is already reflected in the market value of firms. However, going forward, national statistics could fail to measure the full benefits of the new technologies and some may even have the wrong sign.",True,it_adoption_history,,,,,,,
Redefining Radiology: A Review of Artificial Intelligence Integration in Medical Imaging,2023,Reabal Najjar,Diagnostics,724,https://doi.org/10.3390/diagnostics13172760,"This comprehensive review unfolds a detailed narrative of Artificial Intelligence (AI) making its foray into radiology, a move that is catalysing transformational shifts in the healthcare landscape. It traces the evolution of radiology, from the initial discovery of X-rays to the application of machine learning and deep learning in modern medical image analysis. The primary focus of this review is to shed light on AI applications in radiology, elucidating their seminal roles in image segmentation, computer-aided diagnosis, predictive analytics, and workflow optimisation. A spotlight is cast on the profound impact of AI on diagnostic processes, personalised medicine, and clinical workflows, with empirical evidence derived from a series of case studies across multiple medical disciplines. However, the integration of AI in radiology is not devoid of challenges. The review ventures into the labyrinth of obstacles that are inherent to AI-driven radiology-data quality, the 'black box' enigma, infrastructural and technical complexities, as well as ethical implications. Peering into the future, the review contends that the road ahead for AI in radiology is paved with promising opportunities. It advocates for continuous research, embracing avant-garde imaging technologies, and fostering robust collaborations between radiologists and AI developers. The conclusion underlines the role of AI as a catalyst for change in radiology, a stance that is firmly rooted in sustained innovation, dynamic partnerships, and a steadfast commitment to ethical responsibility.",True,ai_adoption; firm_ai_investment,,,,,,,
A multilevel review of artificial intelligence in organizations: Implications for organizational behavior research and practice,2023,Sarah Bankins; Anna Carmella Ocampo; Mauricio Marrone; Simon Lloyd D. Restubog; Sang Eun Woo,Journal of Organizational Behavior,606,https://doi.org/10.1002/job.2735,"Summary The rising use of artificially intelligent (AI) technologies, including generative AI tools, in organizations is undeniable. As these systems become increasingly integrated into organizational practices and processes, understanding their impact on workers' experiences and job designs is critical. However, the ongoing discourse surrounding AI use in the workplace remains divided. Proponents of the technology extol its benefits for enhancing efficiency and productivity, while others voice concerns about the potential harm to human workers. To provide greater clarity on this pressing issue, this article presents a systematic review of empirical research that sheds light on the implications of AI use at work. Organized under five inductively generated themes within a multilevel framework, we uncover individual, group, and organizational factors that shape the interplay between humans and AI. Specifically, the themes are: (1) human–AI collaboration; (2) perceptions of algorithmic and human capabilities; (3) worker attitudes towards AI; (4) AI as a control mechanism in algorithmic management of platform‐based work; and (5) labor market implications of AI use. Our review offers insights into these themes and identifies five pathways for future research. Finally, we provide practical recommendations for organizational leaders seeking to implement AI technologies while prioritizing their employees' well‐being.",True,firm_ai_investment,,,,,,,
The Productivity J-Curve: How Intangibles Complement General Purpose Technologies,2020,Erik Brynjolfsson; Daniel Rock; Chad Syverson,American Economic Journal Macroeconomics,592,https://doi.org/10.1257/mac.20180386,"General purpose technologies (GPTs) like AI enable and require significant complementary investments. These investments are often intangible and poorly measured in national accounts. We develop a model that shows how this can lead to underestimation of productivity growth in a new GPTs early years and, later, when the benefits of intangible investments are harvested, productivity growth overestimation. We call this phenomenon the Productivity J-curve. We apply our method to US data and find that adjusting for intangibles related to computer hardware and software yields a TFP level that is 15.9 percent higher than official measures by the end of 2017. (JEL E22, E23, G31, L63, L86)",True,it_adoption_history,,,,,,,
Industry 4.0 in Finance: The Impact of Artificial Intelligence (AI) on Digital Financial Inclusion,2020,David Mhlanga,International Journal of Financial Studies,543,https://doi.org/10.3390/ijfs8030045,"This study sought to investigate the impact of AI on digital financial inclusion. Digital financial inclusion is becoming central in the debate on how to ensure that people who are at the lower levels of the pyramid become financially active. Fintech companies are using AI and its various applications to ensure that the goal of digital financial inclusion is realized that is to ensure that low-income earners, the poor, women, youths, small businesses participate in the mainstream financial market. This study used conceptual and documentary analysis of peer-reviewed journals, reports and other authoritative documents on AI and digital financial inclusion to assess the impact of AI on digital financial inclusion. The present study discovered that AI has a strong influence on digital financial inclusion in areas related to risk detection, measurement and management, addressing the problem of information asymmetry, availing customer support and helpdesk through chatbots and fraud detection and cybersecurity. Therefore, it is recommended that financial institutions and non-financial institutions and governments across the world adopt and scale up the use of AI tools and applications as they present benefits in the quest to ensure that the vulnerable groups of people who are not financially active do participate in the formal financial market with minimum challenges and maximum benefits.",True,firm_ai_investment,,,,,,,
"Artificial intelligence in innovation research: A systematic review, conceptual framework, and future research directions",2022,Marcello M. Mariani; Isa Machado; Vittoria Magrelli; Yogesh K. Dwivedi,Technovation,528,https://doi.org/10.1016/j.technovation.2022.102623,"Artificial Intelligence (AI) is increasingly adopted by organizations to innovate, and this is ever more reflected in scholarly work. To illustrate, assess and map research at the intersection of AI and innovation, we performed a Systematic Literature Review (SLR) of published work indexed in the Clarivate Web of Science (WOS) and Elsevier Scopus databases (the final sample includes 1448 articles). A bibliometric analysis was deployed to map the focal field in terms of dominant topics and their evolution over time. By deploying keyword co-occurrences, and bibliographic coupling techniques, we generate insights on the literature at the intersection of AI and innovation research. We leverage the SLR findings to provide an updated synopsis of extant scientific work on the focal research area and to develop an interpretive framework which sheds light on the drivers and outcomes of AI adoption for innovation. We identify economic, technological, and social factors of AI adoption in firms willing to innovate. We also uncover firms' economic, competitive and organizational, and innovation factors as key outcomes of AI deployment. We conclude this paper by developing an agenda for future research.",True,ai_adoption; ai_patents_value; firm_ai_investment,,,,,,,
Artificial intelligence and the changing sources of competitive advantage,2022,Sebastian Krakowski; Johannes Luger; Sebastian Raisch,Strategic Management Journal,511,https://doi.org/10.1002/smj.3387,"Abstract Research Summary We apply a resource‐based view to investigate how the adoption of Artificial Intelligence (AI) affects competitive capabilities and performance. Following prior work on using chess as a controlled setting for studying competitive interactions, we compare the same players’ capabilities and performance across conventional, centaur, and engine chess tournaments. Our analysis shows that AI adoption triggers interrelated substitution and complementation dynamics, which make humans’ traditional competitive capabilities obsolete, while creating new sources of persistent heterogeneity when humans interact with chess engines. These novel human‐machine capabilities are unrelated, or even negatively related, to traditional capabilities. We contribute an integrated view of substitution and complementation, which identifies AI as the driver of these dynamics and explains how they jointly shift the sources of competitive advantage. Managerial Summary AI‐based technologies increasingly substitute and complement humans in managerial tasks such as decision making. We investigate how such change affects the sources of competitive advantage. AI‐based engines’ adoption in chess allows us to investigate competitive capabilities and performance in human, AI, and hybrid settings. We find that neither humans nor AI in isolation explain performance differences in the AI and hybrid settings. Instead, a new decision‐making resource emerges at the human‐AI intersection, which drives performance but is unrelated or even negatively related to humans’ original capability. Our results document how AI adoption changes the sources of competitive advantage and, in turn, requires managers to develop new capabilities to stay relevant in an AI‐based competitive landscape.",True,ai_adoption; firm_ai_investment,,,,,,,
Artificial intelligence and knowledge sharing: Contributing factors to organizational performance,2022,Femi Olan; Emmanuel Ogiemwonyi Arakpogun; Jana Suklan; Franklin Nakpodia; Nadja Damij; Uchitha Jayawickrama,Journal of Business Research,489,https://doi.org/10.1016/j.jbusres.2022.03.008,"The evolution of organizational processes and performance over the past decade has been largely enabled by cutting-edge technologies such as data analytics, artificial intelligence (AI), and business intelligence applications. The increasing use of cutting-edge technologies has boosted effectiveness, efficiency and productivity, as existing and new knowledge within an organization continues to improve AI abilities. Consequently, AI can identify redundancies within business processes and offer optimal resource utilization for improved performance. However, the lack of integration of existing and new knowledge makes it problematic to ascertain the required nature of knowledge needed for AI’s ability to optimally improve organizational performance. Hence, organizations continue to face reoccurring challenges in their business processes, competition, technological advancement and finding new solutions in a fast-changing society. To address this knowledge gap, this study applies a fuzzy set-theoretic approach underpinned by the conceptualization of AI, knowledge sharing (KS) and organizational performance (OP). Our result suggests that the implementation of AI technologies alone is not sufficient in improving organizational performance. Rather, a complementary system that combines AI and KS provides a more sustainable organizational performance strategy for business operations in a constantly changing digitized society.",True,firm_ai_investment,,,,,,,
